Город,Адрес,Площадь м2,Год,Этажей,Жилых помещений
Новороссийск,"12-й км., 6",692.1,1966,2,17
Новороссийск,"Литейный пер., 38",6742.5,1989,9,162
Новороссийск,"пр-кт Дзержинского, 158",2891.3,1970,5,56
Новороссийск,"пр-кт Дзержинского, 160",4681.9,1971,6,96
Новороссийск,"пр-кт Дзержинского, 162",3902.07,1969,5,180
Новороссийск,"пр-кт Дзержинского, 164",4814.6,1969,5,90
Новороссийск,"пр-кт Дзержинского, 164А",3134.3,1975,5,60
Новороссийск,"пр-кт Дзержинского, 168",3160.8,1970,5,60
Новороссийск,"пр-кт Дзержинского, 172",4759.4,1974,5,72
Новороссийск,"пр-кт Дзержинского, 174",3236.7,1972,5,54
Новороссийск,"пр-кт Дзержинского, 183",8536,2006,16,71
Новороссийск,"пр-кт Дзержинского, 185",11741.2,1980,9,160
Новороссийск,"пр-кт Дзержинского, 187",11921.8,1981,9,160
Новороссийск,"пр-кт Дзержинского, 189",3243.8,1978,5,60
Новороссийск,"пр-кт Дзержинского, 191",3162.6,1978,5,60
Новороссийск,"пр-кт Дзержинского, 192",9211.5,2006,17,92
Новороссийск,"пр-кт Дзержинского, 194",9256.8,2006,17,109
Новороссийск,"пр-кт Дзержинского, 195",3476.5,1979,5,60
Новороссийск,"пр-кт Дзержинского, 197",10856.8,1982,9,160
Новороссийск,"пр-кт Дзержинского, 198",8048.4,1991,10,150
Новороссийск,"пр-кт Дзержинского, 199",5451.9,1980,9,170
Новороссийск,"пр-кт Дзержинского, 199А",4627.9,1999,10,57
Новороссийск,"пр-кт Дзержинского, 201",2287.1,1982,9,37
Новороссийск,"пр-кт Дзержинского, 202",6629.8,1999,10,120
Новороссийск,"пр-кт Дзержинского, 203",3119,1983,9,36
Новороссийск,"пр-кт Дзержинского, 204",16789.8,1995,10,271
Новороссийск,"пр-кт Дзержинского, 205",4197.5,1983,5,120
Новороссийск,"пр-кт Дзержинского, 205А",5482.3,1994,16,60
Новороссийск,"пр-кт Дзержинского, 205Б",5014.6,1999,16,75
Новороссийск,"пр-кт Дзержинского, 206",10627.7,1992,10,271
Новороссийск,"пр-кт Дзержинского, 207",7258.8,1985,10,98
Новороссийск,"пр-кт Дзержинского, 209",10184.4,1985,9,154
Новороссийск,"пр-кт Дзержинского, 210",9536.8,1990,10,148
Новороссийск,"пр-кт Дзержинского, 213А",9041.1,2017,15,76
Новороссийск,"пр-кт Дзержинского, 215",5726.4,1986,9,162
Новороссийск,"пр-кт Дзержинского, 216",3591.8,1992,10,76
Новороссийск,"пр-кт Дзержинского, 216А",3986.8,1991,10,70
Новороссийск,"пр-кт Дзержинского, 217",17001.1,1991,9,339
Новороссийск,"пр-кт Дзержинского, 217А",7636.1,2016,17,100
Новороссийск,"пр-кт Дзержинского, 218",7157.9,1996,10,179
Новороссийск,"пр-кт Дзержинского, 219",12755.6,2005,9,180
Новороссийск,"пр-кт Дзержинского, 219А",3560.4,2006,9,32
Новороссийск,"пр-кт Дзержинского, 220/2",8891.3,—,10,148
Новороссийск,"пр-кт Дзержинского, 221",7464.6,2015,20,112
Новороссийск,"пр-кт Дзержинского, 221А",18525.3,2017,19,226
Новороссийск,"пр-кт Дзержинского, 223",4404.76,2005,9,81
Новороссийск,"пр-кт Дзержинского, 223А",13107.4,2013,17,176
Новороссийск,"пр-кт Дзержинского, 224",13462.6,2009,14,385
Новороссийск,"пр-кт Дзержинского, 225",7619.2,2008,10,65
Новороссийск,"пр-кт Дзержинского, 226",9015,2007,17,105
Новороссийск,"пр-кт Дзержинского, 228",8214.9,2007,17,105
Новороссийск,"пр-кт Дзержинского, 230",9041.5,2007,17,105
Новороссийск,"пр-кт Дзержинского, 231",17144.8,2015,20,228
Новороссийск,"пр-кт Дзержинского, 232",9948.4,2011,17,102
Новороссийск,"пр-кт Дзержинского, 234",3132.6,2012,9,89
Новороссийск,"пр-кт Дзержинского, 238",17972.7,2018,16,256
